J14301603+2303445UT 2023/01/06 COS/FUV G140L 4686.784 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
     662.0367985157066         0.0                            0.0
     662.1106166010859         0.0                            0.0
     662.1844346864652         0.0                            0.0
     662.2582527718445         0.0                            0.0
     662.3320708572237         0.0                            0.0
     662.405888942603         0.0                            0.0
     662.4797070279823         0.0                            0.0
     662.5535251133616         0.0                            0.0
     662.627343198741         0.0                            0.0
     662.7011612841202         0.0                            0.0
     662.7749793694995         0.0                            0.0
     662.8487974548789         0.0                            0.0
     662.922615540258         0.0                            0.0
     662.9964336256373         0.0                            0.0
     663.0702517110167         0.0                            0.0
     663.1440697963959         0.0                            0.0
     663.2178878817753         0.0                            0.0
     663.2917059671545         0.0                            0.0
     663.3655240525338         0.0                            0.0
     663.4393421379132         0.0                            0.0
     663.5131602232924         0.0                            0.0
     663.5869783086716         0.0                            0.0
     663.660796394051         0.0                            0.0
     663.7346144794302         0.0                            0.0
     663.8084325648096         0.0                            0.0
     663.8822506501889         0.0                            0.0
     663.9560687355681         0.0                            0.0
     664.0298868209475         0.0                            0.0
     664.1037049063267         0.0                            0.0
     664.1775229917059         0.0                            0.0
     664.2513410770853         0.0                            0.0
     664.3251591624646         0.0                            0.0
     664.3989772478438         0.0                            0.0
     664.4727953332232         0.0                            0.0
     664.5466134186025         0.0                            0.0
     664.6204315039818         0.0                            0.0
     664.6942495893611         0.0                            0.0
     664.7680676747403         0.0                            0.0
     664.8418857601196         0.0                            0.0
     664.9157038454989         0.0                            0.0
     664.9895219308783         0.0                            0.0
     665.0633400162575         0.0                            0.0
     665.1371581016368         0.0                            0.0
     665.2109761870162         0.0                            0.0
     665.2847942723954         0.0                            0.0
     665.3586123577746         0.0                            0.0
     665.4324304431539         0.0                            0.0
     665.5062485285332         0.0                            0.0
     665.5800666139125         0.0                            0.0
     665.6538846992918         0.0                            0.0
     665.7277027846711         0.0                            0.0
     665.8015208700505         0.0                            0.0
     665.8753389554297         0.0                            0.0
     665.949157040809         0.0                            0.0
     666.0229751261883         0.0                            0.0
     666.0967932115675         0.0                            0.0
     666.1706112969468         0.0                            0.0
     666.2444293823262         0.0                            0.0
     666.3182474677054         0.0                            0.0
     666.3920655530848         0.0                            0.0
     666.4658836384641         0.0                            0.0
     666.5397017238433         0.0                            0.0
     666.6135198092226         0.0                            0.0
     666.6873378946019         0.0                            0.0
     666.7611559799811         0.0                            0.0
     666.8349740653605         0.0                            0.0
     666.9087921507398         0.0                            0.0
     666.9826102361191         0.0                            0.0
     667.0564283214984         0.0                            0.0
     667.1302464068777         0.0                            0.0
     667.2040644922569         0.0                            0.0
     667.2778825776362         0.0                            0.0
     667.3517006630154         0.0                            0.0
     667.4255187483948         0.0                            0.0
     667.4993368337741         0.0                            0.0
